1,8,5,12,7
2,5,13,41,4
3,13,6,14,13
4,6,11,27,16
5,11,5,29,19
6,5,3,40,12
7,3,11,37,11
8,11,2,21,6
9,2,8,46,15
10,8,13,18,13
11,13,11,40,11
12,11,8,29,4
13,8,9,25,4
14,9,1,13,20
15,1,5,26,8
16,5,7,40,5
17,7,11,44,6
18,11,4,43,4
19,4,1,19,3
20,1,8,44,18
21,8,13,23,9
22,13,1,23,2
23,1,2,45,6
24,2,8,49,10
25,8,2,77,12
26,2,6,94,2
27,6,7,44,11
28,7,5,12,13
29,5,10,32,20
30,10,1,26,9
31,1,2,58,20
32,2,8,44,15
33,8,5,54,17
34,5,9,34,5
35,9,3,26,9
36,3,12,29,2
37,12,8,41,11
38,8,3,34,16
39,3,7,27,12
